iter	Passed	Remaining
554	3444	2761
555	3450	2755
556	3455	2748
557	3461	2742
558	3467	2735
559	3472	2728
560	3478	2722
561	3484	2715
562	3489	2708
563	3495	2702
564	3501	2695
565	3506	2688
566	3511	2681
567	3516	2674
568	3521	2667
569	3527	2660
570	3533	2654
571	3538	2647
572	3543	2640
573	3549	2634
574	3555	2628
575	3561	2621
576	3566	2614
577	3572	2608
578	3577	2601
579	3583	2594
580	3589	2588
581	3595	2582
582	3602	2576
583	3608	2570
584	3615	2564
585	3622	2559
586	3629	2553
587	3636	2547
588	3642	2541
589	3648	2535
590	3655	2529
591	3660	2523
592	3667	2517
593	3674	2511
594	3681	2506
595	3688	2500
596	3694	2494
597	3701	2488
598	3707	2481
599	3712	2475
600	3719	2469
601	3726	2463
602	3732	2457
603	3738	2450
604	3743	2444
605	3749	2438
606	3756	2431
607	3761	2425
608	3768	2419
609	3773	2412
610	3779	2406
611	3785	2400
612	3792	2393
613	3798	2388
614	3806	2382
615	3812	2376
616	3818	2370
617	3824	2364
618	3830	2357
619	3836	2351
620	3842	2345
621	3848	2338
622	3853	2332
623	3859	2325
624	3866	2319
625	3872	2313
626	3878	2307
627	3884	2301
628	3889	2294
629	3895	2287
630	3902	2281
631	3908	2275
632	3914	2269
633	3919	2262
634	3925	2256
635	3931	2250
636	3937	2243
637	3943	2237
638	3949	2231
639	3955	2224
640	3962	2219
641	3967	2212
642	3973	2206
643	3979	2200
644	3985	2193
645	3991	2187
646	3998	2181
647	4003	2174
648	4009	2168
649	4015	2162
650	4022	2156
651	4028	2150
652	4033	2143
653	4039	2137
654	4045	2130
655	4051	2124
656	4057	2118
657	4063	2111
658	4068	2105
659	4074	2099
660	4080	2092
661	4085	2086
662	4090	2079
663	4096	2073
664	4102	2066
665	4107	2060
666	4113	2053
667	4119	2047
668	4124	2040
669	4130	2034
670	4135	2027
671	4140	2020
672	4146	2014
673	4151	2008
674	4157	2001
675	4163	1995
676	4170	1989
677	4175	1983
678	4181	1977
679	4187	1970
680	4193	1964
681	4200	1958
682	4206	1952
683	4213	1946
684	4219	1940
685	4227	1934
686	4234	1929
687	4242	1923
688	4252	1919
689	4259	1913
690	4267	1908
691	4274	1902
692	4282	1896
693	4289	1891
694	4297	1885
695	4304	1880
696	4312	1874
697	4321	1869
698	4330	1864
699	4339	1859
700	4346	1853
701	4353	1848
702	4361	1842
703	4370	1837
704	4376	1831
705	4383	1825
706	4389	1819
707	4395	1812
708	4401	1806
709	4408	1800
710	4414	1794
711	4420	1787
712	4426	1781
713	4432	1775
714	4438	1769
715	4444	1762
716	4450	1756
717	4456	1750
718	4463	1744
719	4469	1737
720	4474	1731
721	4480	1725
722	4485	1718
723	4491	1712
724	4497	1706
725	4504	1700
726	4510	1693
727	4517	1687
728	4523	1681
729	4529	1675
730	4535	1669
731	4541	1662
732	4547	1656
733	4554	1650
734	4560	1644
735	4566	1638
736	4573	1632
737	4579	1625
738	4585	1619
739	4591	1613
740	4597	1607
741	4604	1600
742	4609	1594
743	4615	1588
744	4621	1581
745	4626	1575
746	4633	1569
747	4638	1562
748	4643	1556
749	4649	1549
750	4655	1543
751	4661	1537
752	4666	1530
753	4671	1524
754	4676	1517
755	4682	1511
756	4687	1504
757	4692	1498
758	4699	1492
759	4704	1485
760	4709	1479
761	4714	1472
762	4720	1466
763	4726	1459
764	4731	1453
765	4736	1446
766	4742	1440
767	4747	1434
768	4752	1427
769	4758	1421
770	4763	1414
771	4769	1408
772	4774	1402
773	4780	1395
774	4786	1389
775	4792	1383
776	4797	1376
777	4803	1370
778	4809	1364
779	4815	1358
780	4820	1351
781	4827	1345
782	4833	1339
783	4841	1333
784	4847	1327
785	4854	1321
786	4861	1315
787	4868	1309
788	4875	1303
789	4882	1297
790	4889	1291
791	4896	1286
792	4903	1280
793	4911	1274
794	4921	1269
795	4929	1263
796	4938	1257
797	4946	1252
798	4955	1246
799	4963	1240
800	4969	1234
801	4975	1228
802	4981	1222
803	4988	1216
804	4994	1209
805	5000	1203
806	5006	1197
807	5012	1191
808	5019	1185
809	5024	1178
810	5031	1172
811	5036	1166
812	5044	1160
813	5049	1153
814	5055	1147
815	5061	1141
816	5067	1135
817	5073	1128
818	5078	1122
819	5083	1115
820	5089	1109
821	5095	1103
822	5101	1097
823	5107	1090
824	5113	1084
825	5120	1078
826	5126	1072
827	5131	1065
828	5136	1059
829	5141	1053
830	5147	1046
831	5152	1040
832	5157	1034
833	5163	1027
834	5168	1021
835	5173	1014
836	5179	1008
837	5185	1002
838	5191	996
839	5196	989
840	5202	983
841	5208	977
842	5213	970
843	5218	964
844	5224	958
845	5230	952
846	5235	945
847	5241	939
848	5246	933
849	5251	926
850	5257	920
851	5262	914
852	5268	907
853	5274	901
854	5280	895
